dynamics_rms_mean,dynamics_rms_std,pitch_pitch_mean,rhythm_attacktime_mean,rhythm_eventdensity_mean,rhythm_fluctuationmax_peakposmean,rhythm_pulseclarity_mean,rhythm_tempo_mean,rhythm_tempo_std,spectral_brightness_mean,spectral_brightness_std,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,spectral_flatness_std,spectral_inharmonicity_mean,spectral_irregularity_mean,spectral_kurtosis_mean,spectral_kurtosis_std,spectral_mfcc_mean_1,spectral_mfcc_mean_10,spectral_mfcc_mean_11,spectral_mfcc_mean_12,spectral_mfcc_mean_13,spectral_mfcc_mean_2,spectral_mfcc_mean_3,spectral_mfcc_mean_4,spectral_mfcc_mean_5,spectral_mfcc_mean_6,spectral_mfcc_mean_7,spectral_mfcc_mean_8,spectral_mfcc_mean_9,spectral_mfcc_std_1,spectral_mfcc_std_10,spectral_mfcc_std_11,spectral_mfcc_std_12,spectral_mfcc_std_13,spectral_mfcc_std_2,spectral_mfcc_std_3,spectral_mfcc_std_4,spectral_mfcc_std_5,spectral_mfcc_std_6,spectral_mfcc_std_7,spectral_mfcc_std_8,spectral_mfcc_std_9,spectral_novelty_mean,spectral_novelty_std,spectral_rolloff85_mean,spectral_rolloff85_std,spectral_rolloff95_mean,spectral_rolloff95_std,spectral_roughness_mean,spectral_skewness_mean,spectral_skewness_std,spectral_spectentropy_mean,spectral_spectentropy_std,spectral_spread_mean,spectral_spread_std,timbre_lowenergy_mean,timbre_lowenergy_std,timbre_spectralflux_mean,timbre_spectralflux_std,tonal_hcdf_mean,tonal_hcdf_std,tonal_keyclarity_mean,tonal_keyclarity_std,tonal_mode_mean,tonal_mode_std,Category
0.013444,0.005903,375.990904,0.016346,1.145663,2.833503,0.136728,105.799224,37.620073,0.314003,0.106276,2758.904364,818.048182,0.243632,0.060786,0.368221,0.673089,7.085047,2.76348,2.715483,-0.105758,-0.232858,-0.159167,-0.090259,0.889302,0.47916,0.538463,0.331859,-0.050397,-0.0675,-0.10994,-0.092876,0.720891,0.195537,0.213941,0.163955,0.144286,0.310731,0.318878,0.278736,0.23941,0.229427,0.193501,0.178363,0.20966,0.051305,0.122717,6610.872803,2570.431637,13395.04303,1284.470649,2.120159,2.100717,0.600892,0.721451,0.066778,4491.036103,439.505309,5.415367,1.558017,10.204444,5.785453,0.244838,0.321193,0.457834,0.17175,-0.043605,0.068892,Class 4
0.011291,0.008784,855.112001,0.016366,2.12766,2.382534,0.156985,103.70891,20.224905,0.354676,0.123089,2787.807184,948.854483,0.272949,0.092505,0.305599,0.139886,8.47567,3.975166,1.393248,0.040449,0.074954,0.044309,0.077612,0.070529,0.094511,-0.204778,0.117833,0.048876,0.12416,0.060096,0.066088,0.212182,0.119871,0.120602,0.109345,0.112206,0.129996,0.137961,0.151346,0.141326,0.142983,0.131234,0.127641,0.112073,0.033873,0.101183,6332.062683,2369.294352,13623.788452,2824.773862,0.807745,2.310406,0.654693,0.677287,0.114233,4616.409691,578.308993,4.652187,0.53774,9.799859,8.441237,0.629594,0.341241,0.440244,0.132387,-0.02394,0.098591,Class 4
0.052846,0.028216,739.89391,0.0204,3.600655,3.23348,0.471585,162.728967,3.858627,0.249045,0.067712,1286.160645,252.648638,0.062852,0.015588,0.429393,0.428124,34.687889,7.323361,3.062403,0.238405,0.356482,0.272787,0.234959,-0.736282,0.191299,-0.323191,0.232571,0.034937,0.063447,0.212669,0.30003,0.439292,0.18025,0.177594,0.196604,0.187829,0.353677,0.332073,0.28669,0.251459,0.276913,0.213401,0.192598,0.20182,0.083985,0.153396,2312.35199,480.64936,4571.813049,626.56266,115.114254,4.644479,0.527184,0.696562,0.042588,2039.871615,213.458979,4.998831,1.429992,45.529733,29.307053,0.337036,0.215957,0.465368,0.129338,-0.031692,0.096302,Class 1
0.087529,0.020352,630.302807,0.015339,3.764321,2.374726,0.114023,134.892943,47.667156,0.304335,0.03533,1794.007723,117.505982,0.069179,0.009923,0.447687,0.576837,20.89385,2.65509,2.9746,-0.060911,-0.150958,0.063135,-0.015998,-0.348124,-0.440763,-0.996287,0.367607,-0.343118,-0.54596,0.052976,0.076956,0.380777,0.199017,0.1624,0.201815,0.205562,0.214439,0.197827,0.253064,0.217637,0.219342,0.192287,0.217923,0.197266,0.062965,0.121264,3375.733337,240.820706,5714.463501,344.442538,467.081708,3.47095,0.284721,0.733798,0.014619,2107.168221,108.188549,4.937357,1.028468,67.81256,16.12487,0.195859,0.101366,0.576344,0.150061,-0.086635,0.111011,Class 1
0.004937,0.002017,403.411721,0.022044,0.818331,2.660629,0.177054,135.581084,49.922858,0.381046,0.126088,3587.624828,1281.974369,0.306447,0.072338,0.450077,0.492316,5.607508,2.476486,2.294777,-0.042969,0.063783,0.025228,0.156422,0.58984,0.681547,0.209504,0.098597,0.075702,0.012674,-0.004041,0.118831,0.530202,0.19213,0.194979,0.156331,0.201241,0.306454,0.31031,0.223488,0.218792,0.217203,0.235246,0.208321,0.159231,0.022262,0.082933,8864.367371,3273.945225,16218.808594,1791.395206,0.742846,1.786289,0.648628,0.753266,0.064285,5359.104913,626.146476,6.066555,1.751029,3.351369,1.879515,0.19761,0.262656,0.501407,0.136241,-0.060317,0.062196,Class 4
0.041412,0.017085,478.511715,0.0156,4.418985,2.890504,0.289767,123.616722,18.876438,0.253601,0.059211,1850.096622,458.861035,0.149695,0.03013,0.379756,0.511174,10.420772,3.144376,2.589873,0.096383,0.05789,0.019157,0.053094,0.302347,0.384119,0.219137,0.215281,0.079957,0.10089,0.053325,0.129419,0.45605,0.14448,0.140958,0.146549,0.133417,0.267889,0.23926,0.199357,0.204877,0.166419,0.179912,0.156332,0.157466,0.067226,0.17408,4286.0495,1704.049136,9907.337036,1159.605416,22.581806,2.623429,0.507503,0.665162,0.060973,3488.522068,354.915186,4.946756,0.99886,37.758838,22.792579,0.361086,0.188486,0.500656,0.131621,-0.046422,0.107077,Class 3
0.021254,0.005296,627.706493,0.016402,5.07365,3.027442,0.108869,109.44393,33.053144,0.219777,0.033762,1315.492154,133.598874,0.077363,0.013237,0.460587,0.483058,32.806833,5.779361,3.648199,-0.033753,0.052869,0.025295,0.148696,-0.253572,0.363648,-0.031831,0.106678,0.04642,0.070921,-0.123805,-0.032267,0.473992,0.168147,0.16848,0.190237,0.155332,0.283045,0.206164,0.219781,0.202012,0.205863,0.183601,0.177645,0.167493,0.070155,0.132794,2152.198792,309.290524,4965.601501,731.438608,16.552012,4.811529,0.456564,0.706337,0.019712,2364.074752,196.634622,4.970177,0.706201,15.960518,4.129322,0.249216,0.118514,0.490495,0.139798,-0.027726,0.111537,Class 4
0.029609,0.016355,360.972089,0.019866,2.12766,2.673109,0.116196,97.766163,46.058835,0.201196,0.078917,1456.495087,382.959289,0.086904,0.022195,0.370753,0.933874,29.973471,11.740365,3.899873,-0.090878,-0.095771,0.007431,-0.004904,0.074431,0.102679,-0.114698,0.241511,0.037446,-0.254139,-0.234722,-0.355264,0.890828,0.200615,0.172008,0.179734,0.17248,0.303694,0.373055,0.264964,0.439457,0.235751,0.223346,0.19726,0.197343,0.058864,0.124062,2370.58136,1125.35632,5087.039795,1501.781089,11.443474,4.648605,1.138672,0.668037,0.063652,2547.512782,308.424162,5.367983,1.076,13.485567,8.717155,0.122211,0.122052,0.629843,0.115404,-0.062543,0.068297,Class 1
0.020939,0.006247,538.302653,0.015953,2.454992,3.794785,0.169624,99.353382,14.420784,0.428909,0.072415,2592.529396,561.154399,0.177378,0.035405,0.464615,0.373086,8.948132,3.290455,2.49364,0.068035,-0.02704,0.064975,0.071723,-0.079991,0.430792,0.060491,0.048023,-0.160064,0.012128,0.016673,0.126713,0.48771,0.168889,0.164049,0.165081,0.151468,0.330256,0.235162,0.250203,0.189501,0.205094,0.194776,0.196962,0.211581,0.084417,0.137596,5391.106567,1695.13357,10415.789795,1649.224126,16.76648,2.290699,0.548934,0.803007,0.029592,3482.429786,443.805373,5.416518,1.174729,17.490395,4.971571,0.313676,0.173209,0.492167,0.13882,-0.035553,0.115506,Class 1
0.053693,0.030094,665.073504,0.014342,3.273322,3.358543,0.184098,116.527884,12.598842,0.225973,0.059642,1644.842902,445.865451,0.137174,0.037958,0.402922,0.437421,14.641793,4.624029,3.336203,0.021272,-0.001711,0.070287,0.109492,-0.034195,0.124255,0.24863,-0.089353,-0.076215,0.094755,0.109866,-0.030246,0.4992,0.167463,0.156764,0.163165,0.159851,0.253031,0.2044,0.191913,0.18794,0.179776,0.176762,0.18136,0.167175,0.073625,0.143851,2827.174988,1466.326954,9006.665955,2164.047318,70.333799,3.271679,0.607776,0.689289,0.047847,3290.990311,463.443347,5.029704,1.23772,42.174321,25.24343,0.314619,0.136521,0.422999,0.127274,-0.031803,0.100763,Class 1
